Case, quadcopter/10_0,,,
,,,,
Drag [N], 39.736,,,
Drag Area [m2], 0.649,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.049, 0.122, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.943, 1,,
right front rotor, 0.943, 1,,
left front motor, 1.323, 1,,
right front motor, 1.323, 1,,
main body, 13.854, 1,,
left front arm, 3.23, 0.957,,
right front arm, 3.23, 0.957,,
head, 0.266, 0.933,,
torso, 2.721, 0.825,,
left upper arm, 0.65, 1,,
right upper arm, 0.65, 1,,
left lower arm, 0.593, 0.876,,
right lower arm, 0.593, 0.876,,
left back rotor, 0.943, 0.156,,
right back rotor, 0.943, 0.156,,
left back motor, 1.109, 0.773,,
right back motor, 1.109, 0.773,,
left back arm, 2.656, 0.752,,
right back arm, 2.656, 0.752,,
