Case, quadcopter/2-5_2,,,
,,,,
Drag [N], 2.558,,,
Drag Area [m2], 0.668,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.049, 0.091, -0.014,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.059, 1,,
left back rotor, 0.059, 0.929,,
left front motor, 0.083, 1,,
left back motor, 0.083, 1,,
left front arm, 0.049, 0.532,,
left back arm, 0.049, 0.532,,
left upper arm, 0.066, 1,,
left lower arm, 0.06, 1,,
main body, 1.364, 0.988,,
torso, 0.225, 0.857,,
head, 0.017, 0.933,,
right front arm, 0.041, 0.235,,
right back arm, 0.041, 0.235,,
right upper arm, 0.053, 0.771,,
right lower arm, 0.049, 0.771,,
right front rotor, 0.059, 0.369,,
right back rotor, 0.059, 0.318,,
right front motor, 0.072, 0.825,,
right back motor, 0.072, 0.825,,
