Case, quadcopter/7-5_1,,,
,,,,
Drag [N], 35.436,,,
Drag Area [m2], 1.029,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.014, 0.0, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
main body, 12.403, 1,,
left front motor, 1.948, 1,,
right front motor, 1.948, 1,,
left back motor, 1.948, 1,,
right back motor, 1.948, 1,,
left lower arm, 0.244, 0.324,,
right lower arm, 0.244, 0.324,,
left front arm, 3.29, 0.861,,
right front arm, 3.29, 0.861,,
left back arm, 3.29, 0.861,,
right back arm, 3.29, 0.861,,
head, 0.087, 0.066,,
torso, 0.935, 0.071,,
left upper arm, 0.286, 0.364,,
right upper arm, 0.286, 0.364,,
