Case, sensitivity_analysis/quadcopter_3,,,
,,,,
Drag [N], 57.455,,,
Drag Area [m2], 0.761,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.04, 0.085, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 1.162, 1,,
right front rotor, 1.162, 1,,
left front motor, 1.63, 1,,
right front motor, 1.63, 1,,
main body, 30.302, 0.998,,
left front arm, 3.423, 0.795,,
right front arm, 3.423, 0.795,,
head, 0.264, 0.531,,
torso, 2.382, 0.463,,
left upper arm, 0.801, 1,,
right upper arm, 0.801, 1,,
left lower arm, 0.237, 0.021,,
right lower arm, 0.237, 0.021,,
left back rotor, 1.162, 0.156,,
right back rotor, 1.162, 0.156,,
left back motor, 1.367, 0.773,,
right back motor, 1.367, 0.773,,
left back arm, 2.472, 0.519,,
right back arm, 2.472, 0.519,,
