Case, sub_main/5_2,,,
,,,,
Drag [N], 16.529,,,
Drag Area [m2], 1.079,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.086, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FR motor, 0.128, 1,,
BR motor, 0.128, 1,,
FR rotor, 0.003, 1,,
BR rotor, 0.003, 1,,
FR arm, 0.06, 0.541,,
BR arm, 0.06, 0.541,,
main body, 8.819, 1,,
main body top, 4.631, 1,,
battery, 2.33, 1,,
FL arm, 0.061, 0.879,,
BL arm, 0.061, 0.879,,
FL motor, 0.119, 0.903,,
BL motor, 0.119, 0.903,,
FL rotor, 0.003, 0.903,,
BL rotor, 0.003, 0.903,,
