Case, sub_main/7-5_0,,,
,,,,
Drag [N], 24.692,,,
Drag Area [m2], 0.717,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.031, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FL motor, 0.289, 1,,
FR motor, 0.289, 1,,
FL rotor, 0.008, 1,,
FR rotor, 0.008, 1,,
FL arm, 0.715, 0.85,,
FR arm, 0.715, 0.85,,
main body, 11.811, 1,,
main body top, 6.202, 1,,
battery, 2.941, 1,,
BL motor, 0.267, 0.897,,
BR motor, 0.267, 0.897,,
BL rotor, 0.008, 0.897,,
BR rotor, 0.008, 0.897,,
BL arm, 0.582, 0.657,,
BR arm, 0.582, 0.657,,
